perfil,cantidad
BI,0
Desarrollador IT,0
analista de programacion,0
desarrollador biztalk,0
desarrollador unity,1
desarrollador wordpress,1
experto en linux,2
desarrollador c++,2
tester,3
videojuegos,4
desarrollador laravel,4
business analyst,5
analista de soporte,7
desarrollador inteligencia artificial,7
desarrolador scala,8
ingeniero de soporte,8
desarrollador xamarin,9
platform developer,12
ingeniero de procesos,12
scrum master,13
desarrollador sql,14
Azure,15
RPA developer,15
desarrollador ruby on rails,19
desarrollador c#,20
DevOps,28
desarrollador php,32
programador,34
data scientist,40
tech lead,41
ingeniero de sistemas,51
cloud,52
analista QA,55
ux,58
ingeniero de desarrollo,58
automatizacion,65
desarrollador aws,68
desarrollador,72
desarrollador javascript,75
desarrollador python,77
desarrollador web,77
desarrollador de aplicaciones moviles,82
desarrollador angular,83
desarrollador node.js,101
desarrollador react,148
desarrollador .net,148
desarrollador backend,163
desarrollador de software,188
fullstack,215
desarrollador java,237
desarrollador frontend,367
